speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
1576,Shelley,BERKLEY,HOUSE,REPRESENTATIVE,D,NV,1.0,B001231,107
82,Howard,BERMAN,HOUSE,REPRESENTATIVE,D,CA,26.0,B000410,107
1462,Marion,BERRY,HOUSE,REPRESENTATIVE,D,AR,1.0,B000420,107
2272,Donald,BEYER,HOUSE,REPRESENTATIVE,D,VA,8.0,B001292,114
1284,Joseph,BIDEN,SENATE,SENATOR,D,DE,,B000444,107
1577,Judy,BIGGERT,HOUSE,REPRESENTATIVE,R,IL,13.0,B001232,107
2307,Andy,BIGGS,HOUSE,N/A,R,AZ,,B001302,115
87,Brian,BILBRAY,HOUSE,REPRESENTATIVE,R,CA,49.0,B000461,106
1838,Gus,BILIRAKIS,HOUSE,REPRESENTATIVE,R,FL,12.0,B001257,113
89,Michael,BILIRAKIS,HOUSE,REPRESENTATIVE,R,FL,9.0,B000463,107
1285,Jeff,BINGAMAN,SENATE,SENATOR,D,NM,,B000468,107
1753,Rob,BISHOP,HOUSE,REPRESENTATIVE,R,UT,1.0,B001250,113
2249,Mike,BISHOP,HOUSE,REPRESENTATIVE,R,MI,8.0,B001293,114
1740,Timothy,BISHOP,HOUSE,REPRESENTATIVE,D,NY,1.0,B001242,113
91,Sanford,BISHOP,HOUSE,REPRESENTATIVE,D,GA,2.0,B000490,113
2063,Diane,BLACK,HOUSE,REPRESENTATIVE,R,TN,6.0,B001273,113
1748,Marsha,BLACKBURN,HOUSE,REPRESENTATIVE,R,TN,7.0,B001243,113
1463,Rod,BLAGOJEVICH,HOUSE,REPRESENTATIVE,D,IL,5.0,B000518,107
97,Tom,BLILEY,HOUSE,REPRESENTATIVE,R,VA,7.0,B000556,106
2241,Rod,BLUM,HOUSE,REPRESENTATIVE,R,IA,1.0,B001294,114
99,Earl,BLUMENAUER,HOUSE,REPRESENTATIVE,D,OR,3.0,B000574,113
2076,Richard,BLUMENTHAL,SENATE,SENATOR,D,CT,,B001277,113
1464,Roy,BLUNT,SENATE,SENATOR,R,MO,,B000575,113
1949,John,BOCCIERI,HOUSE,REPRESENTATIVE,D,OH,16.0,B001263,111
101,Sherwood,BOEHLERT,HOUSE,REPRESENTATIVE,R,NY,23.0,B000586,107
102,John,BOEHNER,HOUSE,REPRESENTATIVE,R,OH,8.0,B000589,113
2092,Suzanne,BONAMICI,HOUSE,REPRESENTATIVE,D,OR,1.0,B001278,113
1286,Christopher,BOND,SENATE,SENATOR,R,MO,,B000611,107
107,Henry,BONILLA,HOUSE,REPRESENTATIVE,R,TX,23.0,B000617,106
108,David,BONIOR,HOUSE,REPRESENTATIVE,D,MI,10.0,B000619,107
1703,Jo,BONNER,HOUSE,REPRESENTATIVE,R,AL,1.0,B001244,112
110,Sonny,BONO,HOUSE,REPRESENTATIVE,R,CA,44.0,B000622,105
1465,Mary,BONO MACK,HOUSE,REPRESENTATIVE,R,CA,44.0,B001228,106
2194,Cory,BOOKER,SENATE,SENATOR,D,NJ,,B001288,113
1687,John,BOOZMAN,SENATE,SENATOR,R,AR,,B001236,113
1723,Madeleine,BORDALLO,HOUSE,N/A,D,GU,,B001245,115
1796,Dan,BOREN,HOUSE,REPRESENTATIVE,D,OK,2.0,B001254,112
111,Robert,BORSKI,HOUSE,REPRESENTATIVE,D,PA,3.0,B000644,107
2243,Mike,BOST,HOUSE,REPRESENTATIVE,R,IL,12.0,B001295,114
1466,Leonard,BOSWELL,HOUSE,REPRESENTATIVE,D,IA,3.0,B000652,107
113,Rick,BOUCHER,HOUSE,REPRESENTATIVE,D,VA,9.0,B000657,107
1787,Charles,BOUSTANY,HOUSE,REPRESENTATIVE,R,LA,3.0,B001255,113
116,Barbara,BOXER,SENATE,SENATOR,D,CA,,B000711,113
1467,Allen,BOYD,HOUSE,REPRESENTATIVE,D,FL,2.0,B000716,107
1852,Nancy,BOYDA,HOUSE,REPRESENTATIVE,D,KS,2.0,B001258,110
2267,Brendan,BOYLE,HOUSE,REPRESENTATIVE,D,PA,13.0,B001296,114
1736,Jeb,BRADLEY,HOUSE,REPRESENTATIVE,R,NH,1.0,B001246,108
1468,Kevin,BRADY,HOUSE,REPRESENTATIVE,R,TX,8.0,B000755,113
1469,Robert,BRADY,HOUSE,REPRESENTATIVE,D,PA,1.0,B001227,113
1845,Bruce,BRALEY,HOUSE,REPRESENTATIVE,D,IA,1.0,B001259,113
2203,Dave,BRAT,HOUSE,REPRESENTATIVE,R,VA,7.0,B001290,114
120,John,BREAUX,SENATE,SENATOR,D,LA,,B000780,107
2155,Jim,BRIDENSTINE,HOUSE,REPRESENTATIVE,R,OK,1.0,B001283,113
1905,Bobby,BRIGHT,HOUSE,REPRESENTATIVE,D,AL,2.0,B001264,111
1987,Mo,BROOKS,HOUSE,REPRESENTATIVE,R,AL,5.0,B001274,113
2129,Susan,BROOKS,HOUSE,REPRESENTATIVE,R,IN,5.0,B001284,113
1882,Paul,BROUN,HOUSE,REPRESENTATIVE,R,GA,10.0,B001262,113
1669,Henry,BROWN,HOUSE,REPRESENTATIVE,R,SC,1.0,B001235,107
132,Corrine,BROWN,HOUSE,REPRESENTATIVE,D,FL,5.0,B000911,113
136,Sherrod,BROWN,SENATE,SENATOR,D,OH,,B000944,113
1975,Scott,BROWN,SENATE,SENATOR,R,MA,,B001268,112
134,George,BROWN,HOUSE,REPRESENTATIVE,D,CA,42.0,B000918,105
1713,Ginny,BROWN-WAITE,HOUSE,REPRESENTATIVE,R,FL,5.0,B001247,110
137,Sam,BROWNBACK,SENATE,SENATOR,R,KS,,B000953,107
2106,Julia,BROWNLEY,HOUSE,REPRESENTATIVE,D,CA,26.0,B001285,113
1293,Richard,BRYAN,SENATE,SENATOR,D,NV,,B000993,106
141,Ed,BRYANT,HOUSE,REPRESENTATIVE,R,TN,7.0,B000996,107
1840,Vern,BUCHANAN,HOUSE,REPRESENTATIVE,R,FL,16.0,B001260,113
2233,Ken,BUCK,HOUSE,REPRESENTATIVE,R,CO,4.0,B001297,114
2018,Larry,BUCSHON,HOUSE,REPRESENTATIVE,R,IN,8.0,B001275,113
2336,Ted,BUDD,HOUSE,N/A,R,NC,,B001305,115
2045,Ann,BUERKLE,HOUSE,REPRESENTATIVE,R,NY,25.0,B001276,112
1295,Dale,BUMPERS,SENATE,SENATOR,D,AR,,B001057,105
146,Jim,BUNNING,SENATE,SENATOR,R,KY,,B001066,107
1751,Michael,BURGESS,HOUSE,REPRESENTATIVE,R,TX,26.0,B001248,113
1721,Max,BURNS,HOUSE,REPRESENTATIVE,R,GA,12.0,B001249,108
1298,Conrad,BURNS,SENATE,SENATOR,R,MT,,B001126,107
153,Richard,BURR,SENATE,SENATOR,R,NC,,B001135,113
1963,Roland,BURRIS,SENATE,SENATOR,D,IL,,B001266,111
154,Dan,BURTON,HOUSE,REPRESENTATIVE,R,IN,6.0,B001149,107
2127,Cheri,BUSTOS,HOUSE,REPRESENTATIVE,D,IL,17.0,B001286,113
1761,G.,BUTTERFIELD,HOUSE,REPRESENTATIVE,D,NC,1.0,B001251,113
160,Steve,BUYER,HOUSE,REPRESENTATIVE,R,IN,5.0,B001203,107
1299,Robert,BYRD,SENATE,SENATOR,D,WV,,B001210,107
2197,Bradley,BYRNE,HOUSE,REPRESENTATIVE,R,AL,1.0,B001289,113
164,Sonny,CALLAHAN,HOUSE,REPRESENTATIVE,R,AL,1.0,C000052,107
165,Ken,CALVERT,HOUSE,REPRESENTATIVE,R,CA,42.0,C000059,113
166,Dave,CAMP,HOUSE,REPRESENTATIVE,R,MI,4.0,C000071,113
168,Ben,CAMPBELL,SENATE,SENATOR,R,CO,,C000077,107
1816,John,CAMPBELL,HOUSE,REPRESENTATIVE,R,CA,45.0,C001064,113
170,Tom,CAMPBELL,HOUSE,REPRESENTATIVE,R,CA,15.0,C000100,106
171,Charles,CANADY,HOUSE,REPRESENTATIVE,R,FL,12.0,C000107,106
1470,Chris,CANNON,HOUSE,REPRESENTATIVE,R,UT,3.0,C000116,107
2066,Francisco,CANSECO,HOUSE,REPRESENTATIVE,R,TX,23.0,C001082,112
1674,Eric,CANTOR,HOUSE,REPRESENTATIVE,R,VA,7.0,C001046,113
172,Maria,CANTWELL,SENATE,SENATOR,D,WA,,C000127,113
1923,Anh,CAO,HOUSE,REPRESENTATIVE,R,LA,2.0,C001079,111
1676,Shelley,CAPITO,HOUSE,REPRESENTATIVE,R,WV,2.0,C001047,113
1471,Lois,CAPPS,HOUSE,REPRESENTATIVE,D,CA,24.0,C001036,113
1472,Walter,CAPPS,HOUSE,REPRESENTATIVE,D,CA,22.0,C000134,105
1564,Michael,CAPUANO,HOUSE,REPRESENTATIVE,D,MA,7.0,C001037,113
2310,Salud,CARBAJAL,HOUSE,N/A,D,CA,,C001112,115
2107,Tony,CARDENAS,HOUSE,REPRESENTATIVE,D,CA,29.0,C001097,113
174,Benjamin,CARDIN,SENATE,SENATOR,D,MD,,C000141,113
1709,Dennis,CARDOZA,HOUSE,REPRESENTATIVE,D,CA,18.0,C001050,112
1680,Jean,CARNAHAN,SENATE,SENATOR,D,MO,,C001043,107
1789,Russ,CARNAHAN,HOUSE,REPRESENTATIVE,D,MO,3.0,C001060,112
1876,Christopher,CARNEY,HOUSE,REPRESENTATIVE,D,PA,10.0,C001065,110
1999,John,CARNEY,HOUSE,REPRESENTATIVE,D,DE,0.0,C001083,113
179,Thomas,CARPER,SENATE,SENATOR,D,DE,,C000174,113
1665,Brad,CARSON,HOUSE,REPRESENTATIVE,D,OK,2.0,C001044,107
1889,Andre,CARSON,HOUSE,REPRESENTATIVE,D,IN,7.0,C001072,113
1473,Julia,CARSON,HOUSE,REPRESENTATIVE,D,IN,10.0,C000191,107
1752,John,CARTER,HOUSE,REPRESENTATIVE,R,TX,31.0,C001051,113
2159,Matt,CARTWRIGHT,HOUSE,REPRESENTATIVE,D,PA,17.0,C001090,113
1693,Ed,CASE,HOUSE,REPRESENTATIVE,D,HI,2.0,C001055,108
1828,Robert,CASEY,SENATE,SENATOR,D,PA,,C001070,113
1925,Bill,CASSIDY,HOUSE,REPRESENTATIVE,R,LA,6.0,C001075,113
183,Michael,CASTLE,HOUSE,REPRESENTATIVE,R,DE,0.0,C000243,107
1839,Kathy,CASTOR,HOUSE,REPRESENTATIVE,D,FL,13.0,C001066,113
2163,Joaquin,CASTRO,HOUSE,REPRESENTATIVE,D,TX,20.0,C001091,113
186,Steve,CHABOT,HOUSE,REPRESENTATIVE,R,OH,1.0,C000266,113
1303,John,CHAFEE,SENATE,SENATOR,R,RI,,C000269,105
1612,Lincoln,CHAFEE,SENATE,SENATOR,R,RI,,C001040,107
1956,Jason,CHAFFETZ,HOUSE,REPRESENTATIVE,R,UT,3.0,C001076,113
188,Saxby,CHAMBLISS,SENATE,SENATOR,R,GA,,C000286,113
1759,Ben,CHANDLER,HOUSE,REPRESENTATIVE,D,KY,6.0,C001058,112
2356,Liz,CHENEY,HOUSE,N/A,R,WY,,C001109,115
194,Helen,CHENOWETH-HAGE,HOUSE,REPRESENTATIVE,R,ID,1.0,C000345,106
1893,Travis,CHILDERS,HOUSE,REPRESENTATIVE,D,MS,1.0,C001074,111
1726,Chris,CHOCOLA,HOUSE,REPRESENTATIVE,R,IN,2.0,C001052,108
196,Jon,CHRISTENSEN,HOUSE,REPRESENTATIVE,R,NE,2.0,C000377,105
1970,Judy,CHU,HOUSE,REPRESENTATIVE,D,CA,27.0,C001080,113
2055,David,CICILLINE,HOUSE,REPRESENTATIVE,D,RI,1.0,C001084,113
2196,Katherine,CLARK,HOUSE,REPRESENTATIVE,D,MA,5.0,C001101,113
1864,Yvette,CLARKE,HOUSE,REPRESENTATIVE,D,NY,9.0,C001067,113
2030,Hansen,CLARKE,HOUSE,REPRESENTATIVE,D,MI,13.0,C001085,112
2200,Curt,CLAWSON,HOUSE,REPRESENTATIVE,R,FL,19.0,C001102,114
203,William,CLAY,HOUSE,REPRESENTATIVE,D,MO,1.0,C000488,106
1654,Wm.,CLAY,HOUSE,REPRESENTATIVE,D,MO,1.0,C001049,113
204,Eva,CLAYTON,HOUSE,REPRESENTATIVE,D,NC,1.0,C000494,107
1790,Emanuel,CLEAVER,HOUSE,N/A,D,MO,,C001061,115
1540,Max,CLELAND,SENATE,SENATOR,D,GA,,C001034,107
205,Bob,CLEMENT,HOUSE,REPRESENTATIVE,D,TN,5.0,C000503,107
1631,Hillary,CLINTON,SENATE,SENATOR,D,NY,,C001041,107
208,James,CLYBURN,HOUSE,REPRESENTATIVE,D,SC,6.0,C000537,113
209,Daniel,COATS,SENATE,SENATOR,R,IN,,C000542,113
211,Howard,COBLE,HOUSE,REPRESENTATIVE,R,NC,6.0,C000556,113
212,Tom,COBURN,SENATE,SENATOR,R,OK,,C000560,113
213,Thad,COCHRAN,SENATE,SENATOR,R,MS,,C000567,113
1912,Mike,COFFMAN,HOUSE,REPRESENTATIVE,R,CO,6.0,C001077,113
1878,Steve,COHEN,HOUSE,N/A,D,TN,,C001068,115
1742,Tom,COLE,HOUSE,REPRESENTATIVE,R,OK,4.0,C001053,113
1697,Norm,COLEMAN,SENATE,SENATOR,R,MN,,C001057,110
1541,Susan,COLLINS,SENATE,SENATOR,R,ME,,C001035,113
222,Mac,COLLINS,HOUSE,REPRESENTATIVE,R,GA,3.0,C000640,107
2151,Chris,COLLINS,HOUSE,REPRESENTATIVE,R,NY,27.0,C001092,113
2121,Doug,COLLINS,HOUSE,REPRESENTATIVE,R,GA,9.0,C001093,113
224,Larry,COMBEST,HOUSE,REPRESENTATIVE,R,TX,19.0,C000653,107
2297,James,COMER,HOUSE,N/A,R,KY,,C001108,115
2273,Barbara,COMSTOCK,HOUSE,REPRESENTATIVE,R,VA,10.0,C001105,114
1805,K.,CONAWAY,HOUSE,REPRESENTATIVE,R,TX,11.0,C001062,113
226,Gary,CONDIT,HOUSE,REPRESENTATIVE,D,CA,18.0,C000670,107
1959,Gerald,CONNOLLY,HOUSE,REPRESENTATIVE,D,VA,11.0,C001078,113
1307,Kent,CONRAD,SENATE,SENATOR,D,ND,,C000705,107
