mods_file,congress_id,context,bill_number,bill_type
CREC-2017-04-25-pt1-PgS2532.xml,115,OTHER,932,S
CREC-2017-04-25-pt1-PgS2532.xml,115,HEADERLINE,932,S
CREC-2017-04-25-pt1-PgS2532.xml,115,FIRSTPARAGRAPH,927,S
CREC-2017-04-25-pt1-PgS2533.xml,115,OTHER,138,SRES
CREC-2017-04-25-pt1-PgS2533.xml,115,HEADERLINE,138,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,105,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,133,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,133,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,131,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,131,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,130,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,130,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,122,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,129,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,128,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,FIRSTPARAGRAPH,128,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,HEADERLINE,128,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,122,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,105,SRES
CREC-2017-04-25-pt1-PgS2535-4.xml,115,OTHER,129,SRES
CREC-2017-04-25-pt1-PgS2536-2.xml,115,OTHER,141,SRES
CREC-2017-04-25-pt1-PgS2536-2.xml,115,FIRSTPARAGRAPH,141,SRES
CREC-2017-04-25-pt1-PgS2536-3.xml,115,OTHER,142,SRES
CREC-2017-04-25-pt1-PgS2536-3.xml,115,FIRSTPARAGRAPH,142,SRES
CREC-2017-04-25-pt1-PgS2536.xml,115,FIRSTPARAGRAPH,140,SRES
CREC-2017-04-25-pt1-PgS2536.xml,115,OTHER,140,SRES
CREC-2017-04-26-pt1-PgH2858.xml,115,FIRSTPARAGRAPH,2141,HR
CREC-2017-04-26-pt1-PgH2858.xml,115,OTHER,2141,HR
CREC-2017-04-26-pt1-PgH2860-5.xml,115,FIRSTPARAGRAPH,275,HRES
CREC-2017-04-26-pt1-PgH2860-5.xml,115,OTHER,1695,HR
CREC-2017-04-26-pt1-PgH2860-5.xml,115,TITLE,1695,HR
CREC-2017-04-26-pt1-PgH2860-5.xml,115,OTHER,305,HR
CREC-2017-04-26-pt1-PgH2860-5.xml,115,OTHER,275,HRES
CREC-2017-04-26-pt1-PgH2860-5.xml,115,OTHER,254,HRES
CREC-2017-04-26-pt1-PgH2860-5.xml,115,HEADERLINE,275,HRES
CREC-2017-04-26-pt1-PgH2868.xml,115,OTHER,1695,HR
CREC-2017-04-26-pt1-PgH2868.xml,115,HEADERLINE,1695,HR
CREC-2017-04-26-pt1-PgH2868.xml,115,OTHER,275,HRES
CREC-2017-04-26-pt1-PgH2878.xml,115,OTHER,50,HJRES
CREC-2017-04-26-pt1-PgH2878.xml,115,FIRSTPARAGRAPH,6,HJRES
CREC-2017-04-26-pt1-PgH2878.xml,115,FIRSTPARAGRAPH,50,HJRES
CREC-2017-04-26-pt1-PgH2878.xml,115,TITLE,50,HJRES
CREC-2017-04-26-pt1-PgH2878.xml,115,OTHER,6,HJRES
CREC-2017-04-26-pt1-PgS2541.xml,115,OTHER,946,S
CREC-2017-04-26-pt1-PgS2541.xml,115,OTHER,948,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,OTHER,945,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,HEADERLINE,945,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,OTHER,944,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,FIRSTPARAGRAPH,944,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,OTHER,946,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,HEADERLINE,949,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,OTHER,949,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,OTHER,948,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,OTHER,950,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,HEADERLINE,948,S
CREC-2017-04-26-pt1-PgS2554-3.xml,115,HEADERLINE,950,S
CREC-2017-04-27-pt1-PgH2904.xml,115,OTHER,1666,HR
CREC-2017-04-27-pt1-PgH2904.xml,115,FIRSTPARAGRAPH,1666,HR
CREC-2017-04-27-pt1-PgH2905-2.xml,115,OTHER,2052,HR
CREC-2017-04-27-pt1-PgH2905-2.xml,115,OTHER,1035,HR
CREC-2017-04-27-pt1-PgH2910-4.xml,115,OTHER,1694,HR
CREC-2017-04-27-pt1-PgH2910-4.xml,115,HEADERLINE,280,HRES
CREC-2017-04-27-pt1-PgH2910-4.xml,115,OTHER,496,S
CREC-2017-04-27-pt1-PgH2910-4.xml,115,OTHER,286,HRES
CREC-2017-04-27-pt1-PgH2910-4.xml,115,OTHER,280,HRES
CREC-2017-04-27-pt1-PgH2910-4.xml,115,FIRSTPARAGRAPH,280,HRES
CREC-2017-04-27-pt1-PgH2910-4.xml,115,TITLE,1694,HR
CREC-2017-04-27-pt1-PgH2919.xml,115,OTHER,1180,HR
CREC-2017-04-27-pt1-PgH2919.xml,115,TITLE,1180,HR
CREC-2017-04-27-pt1-PgH2919.xml,115,FIRSTPARAGRAPH,1180,HR
CREC-2017-04-27-pt1-PgH2920-2.xml,115,HEADERLINE,1694,HR
CREC-2017-04-27-pt1-PgH2920-2.xml,115,OTHER,1694,HR
CREC-2017-04-27-pt1-PgH2920-2.xml,115,OTHER,280,HRES
CREC-2017-04-27-pt1-PgH2920.xml,115,TITLE,2015,HR
CREC-2017-04-27-pt1-PgH2920.xml,115,FIRSTPARAGRAPH,2015,HR
CREC-2017-04-27-pt1-PgH2920.xml,115,OTHER,2015,HR
CREC-2017-04-27-pt1-PgH2923-3.xml,115,FIRSTPARAGRAPH,280,HRES
CREC-2017-04-27-pt1-PgH2923-3.xml,115,FIRSTPARAGRAPH,1694,HR
CREC-2017-04-27-pt1-PgH2923-3.xml,115,OTHER,1694,HR
CREC-2017-04-27-pt1-PgH2923-3.xml,115,OTHER,280,HRES
CREC-2017-04-27-pt1-PgH2925-2.xml,115,OTHER,50,HJRES
CREC-2017-04-27-pt1-PgH2925-2.xml,115,FIRSTPARAGRAPH,50,HJRES
