mods_file,congress_id,context,bill_number,bill_type
CREC-2017-01-05-pt1-PgH146.xml,115,FIRSTPARAGRAPH,11,HRES
CREC-2017-01-05-pt1-PgH165-2.xml,115,OTHER,26,HR
CREC-2017-01-05-pt1-PgH165-2.xml,115,OTHER,22,HRES
CREC-2017-01-05-pt1-PgH165-2.xml,115,FIRSTPARAGRAPH,22,HRES
CREC-2017-01-05-pt1-PgH165-2.xml,115,FIRSTPARAGRAPH,26,HR
CREC-2017-01-05-pt1-PgH174-2.xml,115,OTHER,25,HRES
CREC-2017-01-05-pt1-PgH174-2.xml,115,HEADERLINE,25,HRES
CREC-2017-01-05-pt1-PgH176.xml,115,OTHER,311,HRES
CREC-2017-01-05-pt1-PgH176.xml,115,OTHER,11,HRES
CREC-2017-01-05-pt1-PgH176.xml,115,FIRSTPARAGRAPH,11,HRES
CREC-2017-01-05-pt1-PgS106-2.xml,115,OTHER,8,SRES
CREC-2017-01-05-pt1-PgS106-2.xml,115,FIRSTPARAGRAPH,8,SRES
CREC-2017-01-05-pt1-PgS114.xml,115,FIRSTPARAGRAPH,32,S
CREC-2017-01-05-pt1-PgS114.xml,115,OTHER,32,S
CREC-2017-01-05-pt1-PgS114.xml,115,OTHER,49,S
CREC-2017-01-05-pt1-PgS114.xml,115,OTHER,54,S
CREC-2017-01-05-pt1-PgS75-3.xml,115,OTHER,3,SCONRES
CREC-2017-01-06-pt1-PgH185-8.xml,115,TITLE,2,S
CREC-2017-01-06-pt1-PgH185-8.xml,115,OTHER,2,S
CREC-2017-01-09-pt1-PgH201-3.xml,115,OTHER,1192,HR
CREC-2017-01-09-pt1-PgH201-3.xml,115,OTHER,309,HR
CREC-2017-01-09-pt1-PgH201-3.xml,115,FIRSTPARAGRAPH,309,HR
CREC-2017-01-09-pt1-PgH201-3.xml,115,HEADERLINE,309,HR
CREC-2017-01-09-pt1-PgH203.xml,115,HEADERLINE,315,HR
CREC-2017-01-09-pt1-PgH203.xml,115,FIRSTPARAGRAPH,315,HR
CREC-2017-01-09-pt1-PgH203.xml,115,OTHER,315,HR
CREC-2017-01-09-pt1-PgH204.xml,115,OTHER,921,HR
CREC-2017-01-09-pt1-PgH204.xml,115,HEADERLINE,302,HR
CREC-2017-01-09-pt1-PgH204.xml,115,OTHER,302,HR
CREC-2017-01-09-pt1-PgH204.xml,115,FIRSTPARAGRAPH,302,HR
CREC-2017-01-09-pt1-PgH206.xml,115,HEADERLINE,304,HR
CREC-2017-01-09-pt1-PgH206.xml,115,OTHER,304,HR
CREC-2017-01-09-pt1-PgH206.xml,115,FIRSTPARAGRAPH,304,HR
CREC-2017-01-09-pt1-PgH208.xml,115,FIRSTPARAGRAPH,353,HR
CREC-2017-01-09-pt1-PgH208.xml,115,HEADERLINE,353,HR
CREC-2017-01-09-pt1-PgH208.xml,115,OTHER,353,HR
CREC-2017-01-09-pt1-PgH227.xml,115,HEADERLINE,34,HRES
CREC-2017-01-09-pt1-PgH227.xml,115,OTHER,34,HRES
CREC-2017-01-09-pt1-PgS125-5.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-09-pt1-PgS125-5.xml,115,OTHER,3,SCONRES
CREC-2017-01-09-pt1-PgS161-2.xml,115,OTHER,3,SCONRES
CREC-2017-01-09-pt1-PgS161-2.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-09-pt1-PgS161-3.xml,115,OTHER,3,SCONRES
